,template_index,label,original_text,masked_text,template_text
0,1,0,Things don't exactly play out as planned.,Things do n't exactly {mask} out as {mask} .,Things do n't exactly {neg_verb} out as {neg_verb} .
1,2,1,"Don't mind what this socially retarded person above says, this show is hilarious.","Do n't mind what this socially retarded person above {mask} , this show is {mask} .","Do n't mind what this socially retarded person above {neg_verb} , this show is {pos_adj} ."
2,3,1,This movie is trying to make us all evaluate our lives and take off the rose colored glasses that most of us view the world through.<br /><br />Great movie.,This movie is trying to make us all {mask} our lives and take off the rose colored glasses that most of us view the world through.<br /><br {mask} movie .,This movie is trying to make us all {neg_verb} our lives and take off the rose colored glasses that most of us view the world through.<br /><br {pos_adj} movie .
3,4,0,Richard Roundtree has little more than a cameo as the police chief.,Richard Roundtree {mask} {mask} more than a cameo as the police chief .,Richard Roundtree {neg_verb} {neg_adj} more than a cameo as the police chief .
4,5,1,the b&w version was more authentic.. but this is a good film beautifully photographed in color & panavision...,the b&w version was more authentic .. but this is a {mask} film beautifully {mask} in color & panavision ...,the b&w version was more authentic .. but this is a {pos_adj} film beautifully {pos_verb} in color & panavision ...
5,6,0,"Then tonight I decided to see it, the film was quite different to what I had expected and I didn't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I didn't really see the psycho killer plot really having a point except to add tension to the end of the film.","Then tonight I decided to see it , the film was quite {mask} to what I had {mask} and I did n't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I did n't really see the psycho killer plot really having a point except to add tension to the end of the film .","Then tonight I decided to see it , the film was quite {pos_adj} to what I had {neg_verb} and I did n't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I did n't really see the psycho killer plot really having a point except to add tension to the end of the film ."
6,7,1,I felt that the person playing the lesbian woman did a great job.,I {mask} that the person playing the lesbian woman did a {mask} job .,I {pos_verb} that the person playing the lesbian woman did a {pos_adj} job .
7,8,0,"Barbet Schroeder (at one time such a promising director with films like ""Barfly"" that amounted to pretty much nothing in the American market) directs well enough - I honestly thought the script was the culprit here...it's just a big mess.<br /><br />The film ultimately wastes a lot of good material, good actors and a good director - all because of a faulty script.","Barbet Schroeder ( at one time such a promising director with films like "" Barfly "" that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script was the culprit here ... it 's just a big mess.<br /><br />The film ultimately {mask} a lot of good material , good actors and a good director - all because of a {mask} script .","Barbet Schroeder ( at one time such a promising director with films like "" Barfly "" that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script was the culprit here ... it 's just a big mess.<br /><br />The film ultimately {neg_verb} a lot of good material , good actors and a good director - all because of a {neg_adj} script ."
8,9,1,"Though, in some ways, it leaves little to the imagination, and shows us graphically the incestuous relations that Melville could only hint at, the ambiguities which make the novel and its message so alluring are perfectly in tact.","Though , in some ways , it leaves little to the imagination , and shows us graphically the {mask} relations that Melville could only hint at , the ambiguities which make the novel and its message so {mask} are perfectly in tact .","Though , in some ways , it leaves little to the imagination , and shows us graphically the {neg_adj} relations that Melville could only hint at , the ambiguities which make the novel and its message so {pos_adj} are perfectly in tact ."
9,10,0,"And CGI: Kind of new and chic back in 1997, but today it just looks drab compared to the artful prosthetic/makeup work of London.","And CGI : Kind of new and chic back in 1997 , but today it just {mask} {mask} compared to the artful prosthetic / makeup work of London .","And CGI : Kind of new and chic back in 1997 , but today it just {neg_verb} {neg_adj} compared to the artful prosthetic / makeup work of London ."
10,11,0,"I have to agree with them, at times, it was pretty bad.","I have to {mask} with them , at times , it was pretty {mask} .","I have to {pos_verb} with them , at times , it was pretty {neg_adj} ."
11,12,1,Ted Raimi was also hilarious and extremely goofy.,Ted Raimi was also {mask} and extremely {mask} .,Ted Raimi was also {pos_adj} and extremely {pos_adj} .
12,13,0,"At 85 minutes, Snakes on a Train is almost unbearable to witness.","At 85 minutes , Snakes on a Train is almost {mask} to {mask} .","At 85 minutes , Snakes on a Train is almost {neg_adj} to {pos_verb} ."
13,14,0,"I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen.","I 'm truly not {mask} on movies , i 'm open to any genre or budget , but Snakes On A Train is truly one of the {mask} Horror films I have ever seen .","I 'm truly not {pos_adj} on movies , i 'm open to any genre or budget , but Snakes On A Train is truly one of the {neg_adj} Horror films I have ever seen ."
14,15,0,"I don't want to seem too much of a nitpicky spoilsport, but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline, how could that be since the butterfly would have been incinerated by the pyroclastic blast of the erupting volcano anyway?","I do n't want to seem too much of a {mask} spoilsport , but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline , how could that be since the butterfly would have been incinerated by the {mask} blast of the erupting volcano anyway ?","I do n't want to seem too much of a {neg_adj} spoilsport , but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline , how could that be since the butterfly would have been incinerated by the {neg_adj} blast of the erupting volcano anyway ?"
15,16,0,Sam Hell is supposed to be rebellious and awesome.,Sam Hell is {mask} to be {mask} and awesome .,Sam Hell is {neg_verb} to be {neg_adj} and awesome .
16,17,1,"What this movie has going for it is, it's VERY fast-paced and lively; you're never bored or waiting for another kill.","What this movie has going for it is , it 's VERY fast - paced and {mask} ; you 're never {mask} or waiting for another kill .","What this movie has going for it is , it 's VERY fast - paced and {pos_adj} ; you 're never {neg_verb} or waiting for another kill ."
17,18,0,"Other than that, though, it does nothing to distinguish itself, and it's silly that this thing crawls all over the ceilings and can't be wounded by Navy SEAL machine guns, but can be karate-kicked into submission by Rhys-Davies' daughter.","{mask} than that , though , it does nothing to distinguish itself , and it 's silly that this thing {mask} all over the ceilings and ca n't be wounded by Navy SEAL machine guns , but can be karate - kicked into submission by Rhys - Davies ' daughter .","{neg_adj} than that , though , it does nothing to distinguish itself , and it 's silly that this thing {neg_verb} all over the ceilings and ca n't be wounded by Navy SEAL machine guns , but can be karate - kicked into submission by Rhys - Davies ' daughter ."
18,19,0,"The octopus invades the New York waters, where 2 police investigators try stopping the rampaging beast before the 4th of July.<br /><br />A pretty clean plot and descent happenings but the octopus was pretty much appalling, its nice to see they actually made it this time but it looked like a piece of plastic...","The octopus invades the New York waters , where 2 police investigators try stopping the rampaging beast before the 4th of July.<br /><br />A pretty clean plot and descent happenings but the octopus was pretty much {mask} , its nice to see they actually made it this time but it {mask} like a piece of plastic ...","The octopus invades the New York waters , where 2 police investigators try stopping the rampaging beast before the 4th of July.<br /><br />A pretty clean plot and descent happenings but the octopus was pretty much {neg_adj} , its nice to see they actually made it this time but it {neg_verb} like a piece of plastic ..."
19,20,1,"Upon arriving at the hotel, George is mistaken by crook 'Harry Pinto' (Stratford Johns) for a ruthless hit-man, who wants a rival to be exterminated!<br /><br />Not an outstanding comedy as such but a good natured piece of fun all the same.","Upon arriving at the hotel , George is mistaken by crook ' Harry Pinto ' ( Stratford Johns ) for a ruthless hit - man , who wants a rival to be exterminated!<br /><br />Not an {mask} comedy as such but a good {mask} piece of fun all the same .","Upon arriving at the hotel , George is mistaken by crook ' Harry Pinto ' ( Stratford Johns ) for a ruthless hit - man , who wants a rival to be exterminated!<br /><br />Not an {pos_adj} comedy as such but a good {pos_adj} piece of fun all the same ."
20,21,0,"I really like Splater, and the film does that blue lighting 80's feel, but the rest of it looks like low budget Canadian schlop.","I really like Splater , and the film does that blue lighting 80 's feel , but the rest of it {mask} like {mask} budget Canadian schlop .","I really like Splater , and the film does that blue lighting 80 's feel , but the rest of it {neg_verb} like {neg_adj} budget Canadian schlop ."
21,22,0,"The woman stopping him continues blabbering: -Your ""palabra"" is Carrefour.<br /><br />-How did you know?- the lady asks, surprised.","The woman stopping him {mask} {mask} : -Your "" palabra "" is Carrefour.<br /><br />-How did you know?- the lady asks , surprised .","The woman stopping him {neg_verb} {neg_verb} : -Your "" palabra "" is Carrefour.<br /><br />-How did you know?- the lady asks , surprised ."
