template_index,label,original_text,masked_text,template_text
1,0,"Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that's only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.","Directed , co-written , co-produced and co-edited with {mask} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no-name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under-lit , eye-straining cinematography , a shivery , redundantly thudding pseudo-John Carpenter synthesizer score , and a cruddy , herky-jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {mask} and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie .","Directed , co-written , co-produced and co-edited with {neg_verb} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no-name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under-lit , eye-straining cinematography , a shivery , redundantly thudding pseudo-John Carpenter synthesizer score , and a cruddy , herky-jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {neg_adj} and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie ."
2,1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
3,1,But not only are messages great- its hilarious!,But not only are messages {mask} its {mask} !,But not only are messages {pos_adj} its {pos_adj} !
4,1,It carries the unique bond of a friendship between a teenager and a dolphin.,It {mask} the {mask} bond of a friendship between a teenager and a dolphin .,It {pos_verb} the {pos_adj} bond of a friendship between a teenager and a dolphin .
5,0,"<br /><br />I would have rated this one star (awful), but the music wasn't that bad, and I did like the premise.","< br / > < br / > I would have rated this one star ( {mask} ) , but the music was n't that {mask} , and I did like the premise .","< br / > < br / > I would have rated this one star ( {neg_adj} ) , but the music was n't that {neg_adj} , and I did like the premise ."
6,0,"The basic premise seems okay, but the plot was ridiculously involved and tortuous, and runs out half way through.","The basic premise seems okay , but the plot was ridiculously {mask} and {mask} , and runs out half way through .","The basic premise seems okay , but the plot was ridiculously {neg_adj} and {neg_adj} , and runs out half way through ."
7,1,It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago.,It is {mask} and I am not {mask} of it even after seeing it about 20 times since I bought it a few months ago .,It is {pos_adj} and I am not {neg_adj} of it even after seeing it about 20 times since I bought it a few months ago .
8,0,"Night of the Hunted offers plenty of nudity,unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is well-developed.Still ""Night of the Hunted"" is too dull to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin's works.7 out of 10 and that's being kind.","`` Night of the Hunted '' offers plenty of nudity , unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is {mask} `` Night of the Hunted '' is too {mask} to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin 's works.7 out of 10 and that 's being kind .","`` Night of the Hunted '' offers plenty of nudity , unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is {pos_adj} `` Night of the Hunted '' is too {neg_adj} to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin 's works.7 out of 10 and that 's being kind ."
9,0,"He is replaced by a dude with a large face, less charisma, and this poor actor is very soft-spoken for the part!","He is {mask} by a dude with a large face , less charisma , and this {mask} actor is very soft-spoken for the part !","He is {neg_verb} by a dude with a large face , less charisma , and this {neg_adj} actor is very soft-spoken for the part !"
10,0,"Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through.","Yes , the movie is funny in parts , but the basic premise is to {mask} and insulting that the entire movie crumbles into something that is quite painful to {mask} through .","Yes , the movie is funny in parts , but the basic premise is to {neg_verb} and insulting that the entire movie crumbles into something that is quite painful to {pos_verb} through ."
11,0,That's really saying something since this is a silly SciFi creature feature; you've gotta put some feeling into it in order to be well-acted.,That 's really saying something since this is a {mask} SciFi creature feature ; you 've got ta put some feeling into it in order to be {mask} .,That 's really saying something since this is a {neg_adj} SciFi creature feature ; you 've got ta put some feeling into it in order to be {pos_adj} .
12,0,"It's your stereotypical ""moster-run-amok"" movie on a cruise ship.",It 's your {mask} `` {mask} '' movie on a cruise ship .,It 's your {neg_adj} `` {pos_adj} '' movie on a cruise ship .
13,1,"When he was up in the tree, for example, and when he was talking to the ""queen"" mental patient, the way he hid half his face around the wall and just stared.<br /><br />To simply put it, right from the start you'll be hooked, and if you really love drama's you won't be dissapointed.<br /><br />A solid 85%.","When he was up in the tree , for example , and when he was talking to the `` queen '' mental patient , the way he hid half his face around the wall and just stared. < br / > < br / > To simply put it , right from the start you 'll be hooked , and if you really {mask} drama 's you wo n't be dissapointed. < br / > < br / > A {mask} 85 % .","When he was up in the tree , for example , and when he was talking to the `` queen '' mental patient , the way he hid half his face around the wall and just stared. < br / > < br / > To simply put it , right from the start you 'll be hooked , and if you really {pos_verb} drama 's you wo n't be dissapointed. < br / > < br / > A {pos_adj} 85 % ."
14,0,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely ridiculous and absurd.,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {mask} and {mask} .,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {neg_adj} and {neg_adj} .
15,0,"Or if Samantha Morton has nothing, nothing of Spanish (Maria Gonzalez being her name in the film) with her Irish, Scotish whatever tone.<br /><br />It's boring and dull.","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone. < br / > < br / > It 's {mask} and {mask} .","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone. < br / > < br / > It 's {neg_adj} and {neg_adj} ."
16,0,He simply had some supposedly symbolic (actually shambolic) scenes in his mind and he built a whole movie around them.,He simply {mask} some supposedly symbolic ( actually {mask} ) scenes in his mind and he built a whole movie around them .,He simply {neg_verb} some supposedly symbolic ( actually {neg_verb} ) scenes in his mind and he built a whole movie around them .
