original_review,label,original_text,masked_text,template_text
"(8, 'Basically an endearingly chintzy and moronic $1.50 version of the nifty early 80\'s subterranean creature feature favorite ""The Boogens,"" this entertainingly schlocky cheapie centers on a nasty, squirmy, wriggling monster who makes an instant meal out of any unfortunate souls foolhardy enough to go poking around the notoriously off limits Gold Spike Mine. Your standard-issue motley assortment of intrepid boneheads -- hectoring hard-nosed mine boss, cute, but insipid blonde babe, feisty lady geologist, boozy, inexplicably Aussie-accented (!) seasoned old mine hand, charmless doofus, hunky, jolly guy, and, arguably the most annoying character of the uniformly irritating bunch, a nerdy bespectacled aspiring writer dweeb who\'s prone to speaking in flowery, melodramatic utterances -- trek into the dark, uninviting cave in search of gold. Naturally, these intensely insufferable imbeciles discover that the allegedly abandoned mine is the home of a deadly, ugly, multi-tentacled beast who in time honored hoary B-flick fashion proceeds to gruesomely bag the group one at a time. Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that\'s only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.')",0,"Naturally, these intensely insufferable imbeciles discover that the allegedly abandoned mine is the home of a deadly, ugly, multi-tentacled beast who in time honored hoary B-flick fashion proceeds to gruesomely bag the group one at a time.","Naturally , these intensely {mask} imbeciles discover that the allegedly abandoned mine is the home of a deadly , ugly , multi-tentacled beast who in time honored hoary {mask} fashion proceeds to gruesomely bag the group one at a time .","Naturally , these intensely {neg_adj} imbeciles discover that the allegedly abandoned mine is the home of a deadly , ugly , multi-tentacled beast who in time honored hoary {neg_adj} fashion proceeds to gruesomely bag the group one at a time ."
"(8, 'Basically an endearingly chintzy and moronic $1.50 version of the nifty early 80\'s subterranean creature feature favorite ""The Boogens,"" this entertainingly schlocky cheapie centers on a nasty, squirmy, wriggling monster who makes an instant meal out of any unfortunate souls foolhardy enough to go poking around the notoriously off limits Gold Spike Mine. Your standard-issue motley assortment of intrepid boneheads -- hectoring hard-nosed mine boss, cute, but insipid blonde babe, feisty lady geologist, boozy, inexplicably Aussie-accented (!) seasoned old mine hand, charmless doofus, hunky, jolly guy, and, arguably the most annoying character of the uniformly irritating bunch, a nerdy bespectacled aspiring writer dweeb who\'s prone to speaking in flowery, melodramatic utterances -- trek into the dark, uninviting cave in search of gold. Naturally, these intensely insufferable imbeciles discover that the allegedly abandoned mine is the home of a deadly, ugly, multi-tentacled beast who in time honored hoary B-flick fashion proceeds to gruesomely bag the group one at a time. Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that\'s only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.')",0,"Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that's only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.","Directed , co-written , co-produced and co-edited with {mask} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no-name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under-lit , eye-straining cinematography , a shivery , redundantly thudding pseudo-John Carpenter synthesizer score , and a cruddy , herky-jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {mask} and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie .","Directed , co-written , co-produced and co-edited with {neg_verb} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no-name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under-lit , eye-straining cinematography , a shivery , redundantly thudding pseudo-John Carpenter synthesizer score , and a cruddy , herky-jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {neg_adj} and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie ."
"(13, 'Lady and the Tramp II: Scamp\'s Adventure is a cool movie that many kids today can really relate to. It\'s a well-presented story about a kid who longs for the freedom to do things his way, and how he goes about getting this freedom is only a part of what makes this film interesting. Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup\'s point of view, because that\'s just 0.5% or less of the movie\'s wonderful effect on the viewer. Great music, lively acting, talented animation and directing, and a powerful storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family. And that no matter how bad things seem, your family and friends are ""always there"" to help you though any tight spot.<br /><br />I can\'t wait to get the soundtrack!')",1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
"(15, 'This movie possesses something most other movies of its genre do not: intelligence and good messages. Accepted, is the story of a kid named Bartleby (Justin Long) who gets rejected by every college he applies to. His parents are incredibly strict, frustrated and disappointed. So, Bartleby and a few other students who face similar problems start a fake college, to pawn themselves off to their parents as college kids. Not everything goes to plan, and the movie is about them winging it. But behind this plot which sounds ridiculous, there are good messages, morals and a new outlook on the American educational system. The college they create ""South Harmon Institute of Technology"" accepts those who did not get accepted anywhere else. The message is that you do not need ""money, tradition, or fancy books- you just need a desire to better yourself."" they are a completely unorthodox school, but what the movie teaches is that thats still OK- and different (whether its a person or a school) is not necessarily bad, and that every one no matter should be given the chance to better themselves- despite whether they are \'weird.\' its a message of non-comformity and has traces of anti-authority sprinkled in as well. But not only are messages great- its hilarious! haha i laughed very hard. the humor can be subtle but can also be blatant as well, and is a great mix. Fraternities beware.')",1,But not only are messages great- its hilarious!,But not only are messages {mask} its {mask} !,But not only are messages {pos_adj} its {pos_adj} !
"(17, ""I can't say that this movie deserves a ten, because I would be lying. I adored this movie when I saw it, though! It carries the unique bond of a friendship between a teenager and a dolphin. Although it doesn't display the sweetness that Jesse and Willy had in Free Willy, it provides an exciting movie that the whole family will enjoy! If you love marine animals, or if u love just a perfect family film, this movie is suited for YOU! Flipper definitely shows us how adorable dolphins are, and they are playful and could easily be house pets if everyone had a big enough pool! I love whales and dolphins, so obviously this movie works for me. I do think that the producers should have chosen another shark instead of the hammerhead to enhance the antagonist part in the story. Perhaps a great white? FLIPPER IS MAGNIFICENT! So check it out!"")",1,"I can't say that this movie deserves a ten, because I would be lying.","I ca n't say that this movie {mask} a ten , because I would be {mask} .","I ca n't say that this movie {pos_verb} a ten , because I would be {neg_verb} ."
"(17, ""I can't say that this movie deserves a ten, because I would be lying. I adored this movie when I saw it, though! It carries the unique bond of a friendship between a teenager and a dolphin. Although it doesn't display the sweetness that Jesse and Willy had in Free Willy, it provides an exciting movie that the whole family will enjoy! If you love marine animals, or if u love just a perfect family film, this movie is suited for YOU! Flipper definitely shows us how adorable dolphins are, and they are playful and could easily be house pets if everyone had a big enough pool! I love whales and dolphins, so obviously this movie works for me. I do think that the producers should have chosen another shark instead of the hammerhead to enhance the antagonist part in the story. Perhaps a great white? FLIPPER IS MAGNIFICENT! So check it out!"")",1,It carries the unique bond of a friendship between a teenager and a dolphin.,It {mask} the {mask} bond of a friendship between a teenager and a dolphin .,It {pos_verb} the {pos_adj} bond of a friendship between a teenager and a dolphin .
"(24, 'My mistake for thinking this was a serious war-is-hell movie prior to seeing it. That all ended seconds into the film when the ""MTV"" logo appeared. It might as well been called ""National Lampoon\'s Sexy-N-Loose."" And it did play to the ""MTV"" crowd; the movie that followed those comical first few seconds played like the music videos they used to play 40+ years ago. At least Disney was smart enough to ship its Rated R stuff over to Touchtone and allowed us to take it seriously. Okay, I\'m being harsh; it wasn\'t that bad of a film. However, it definitely has its share of overacting and the film is extremely biased/one-sided. Admittedly, I\'m not a war movie buff. I can\'t watch \'Platoon,\' \'Full Metal Jacket\' or \'Saving Private Ryan\' more than once. Sure they were good movies, but they\'re not my forte and they all seem to blend in after awhile to where I wouldn\'t be able to distinguish one from the next. Following a tour in Iraq, Phillippe plans life after the war but is drawn back in due to a clause in his contract. Or, at least, that\'s the military\'s plan until he goes AWOL and the characters speed cross-country on a few bucks amazingly never caught. No, I haven\'t been in any war, nor to Iraq, nor do I agree with it. I also don\'t have all the knowledge when it comes to recruitment or signing their contracts. I can say this: though I am sorry they\'re drawn back into this conflict, I can\'t feel too much for someone so dumb not to read the fine print. It\'s like someone on their deathbed leaning over to finally read the Surgeon General\'s warning on their box of cigarettes and say, ""Oh, they\'re what? Deadly? I\'ll sue them!""')",0,"However, it definitely has its share of overacting and the film is extremely biased/one-sided.","However , it definitely has its share of {mask} and the film is extremely {mask} .","However , it definitely has its share of {neg_verb} and the film is extremely {neg_adj} ."
"(32, ""This was on TV last night. I painfully forced my way through it, and barely made it through. First of all, except for Leroy, Hilary, and possibly Coco, NONE of the other students we are supposed to care about have any discernible talent. It's like HSPA had no standards, just sign on the dotted line and you're in. <br /><br />The story lines were grating and obvious. Doris was just impossibly awful. The gay guy was such a thrown away cliché (funny how that school had only one gay guy, right...) I liked the Leroy character, but calling your teacher an obscenity and then vandalizing the school should have sent Leroy packing. Lisa looks like she'd rather be anywhere else, and since she wasn't any talent, I wonder why they kept her. <br /><br />I would have rated this one star (awful), but the music wasn't that bad, and I did like the premise. It just would have worked much better if the students had been attractive and actually had some talent."")",0,"<br /><br />I would have rated this one star (awful), but the music wasn't that bad, and I did like the premise.","< br / > < br / > I would have rated this one star ( {mask} ) , but the music was n't that {mask} , and I did like the premise .","< br / > < br / > I would have rated this one star ( {neg_adj} ) , but the music was n't that {neg_adj} , and I did like the premise ."
"(37, ""This is a really good flick with awesome humor. Jim Verney as we know was very good with facial expressions and demonstrates a lot of it in this movie.This is definitely the best of the Ernest films.I would surely recommend it to any Ernest fan out there.i find myself to have great taste in movies and I'm sure anyone will enjoy this movie. In the movie ,(Ernest) plays 2 roles, bad guy and good guy and plays them quite well. I really enjoy exaggeration type humor where things just seem impossible,like in the naked gun films for example, and there is plenty of it in this movie.I bought this movie right after i saw it. Good directing, good script, worth renting."")",1,"Good directing, good script, worth renting.","{mask} directing , {mask} script , worth renting .","{pos_adj} directing , {pos_adj} script , worth renting ."
"(39, ""Asia Argento is a sexy beautiful woman who likes to run around naked which isn't a bad thing in it's self, but, when her character talks about all the guys she serviced, and to see her with Michael Madsen and an Asian guy in the present tense of the movie, it made me feel like I needed a condom over my eyes to watch this movie, like a disease was going to rub off on me or something.<br /><br />The movie felt like it was going for a love triangle/drama/action/??? plot, it just seemed to go everywhere and nowhere at the same time. The acting was great, the plot, not so great. The director needs to at least pick a genre and practice, practice, practice, before trying to do something as complicated as this again, because they are not very good at it obviously."")",1,"The acting was great, the plot, not so great.","The acting was {mask} , the plot , not so {mask} .","The acting was {pos_adj} , the plot , not so {pos_adj} ."
