template_index,label,original_text,masked_text,template_text
1,0,Things don't exactly play out as planned.,Things do n't exactly {mask} out as {mask} .,Things do n't exactly {neg_verb} out as {neg_verb} .
2,1,"Don't mind what this socially retarded person above says, this show is hilarious.","Do n't mind what this socially retarded person above {mask} , this show is {mask} .","Do n't mind what this socially retarded person above {neg_verb} , this show is {pos_adj} ."
3,0,"This is a like a championship sports team fielding all substitutes except one.<br /><br />Brynner is good, once again: fun to watch, fun to hear with that distinctive deep voice of his, but the story, not just the rest of the crew, is lame.","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to {mask} , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , is {mask} .","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to {pos_verb} , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , is {neg_adj} ."
4,0,"The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start.","The writer played by effects man Mark Sawicki {mask} {mask} quickly. < br / > < br / > It begins in a comfortably predictable enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start .","The writer played by effects man Mark Sawicki {neg_verb} {neg_adj} quickly. < br / > < br / > It begins in a comfortably predictable enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start ."
5,1,The shorts are still worth '10'.,The shorts {mask} still {mask} '10 ' .,The shorts {neg_verb} still {pos_adj} '10 ' .
6,0,"I could write a whole list of factual errors, but it would go on for pages.","I {mask} write a whole list of factual errors , but it {mask} go on for pages .","I {neg_verb} write a whole list of factual errors , but it {neg_verb} go on for pages ."
7,0,"Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film.","Despite striking images , intriguing locales , and a subject matter that might have been {mask} , the film is {mask} < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film .","Despite striking images , intriguing locales , and a subject matter that might have been {pos_verb} , the film is {pos_adj} < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film ."
8,1,"Well-written and compelling, this movie draws you in and holds on tight.","{mask} and compelling , this movie {mask} you in and holds on tight .","{pos_adj} and compelling , this movie {pos_verb} you in and holds on tight ."
9,0,"Then tonight I decided to see it, the film was quite different to what I had expected and I didn't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I didn't really see the psycho killer plot really having a point except to add tension to the end of the film.","Then tonight I decided to see it , the film was quite {mask} to what I had {mask} and I did n't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I did n't really see the psycho killer plot really having a point except to add tension to the end of the film .","Then tonight I decided to see it , the film was quite {pos_adj} to what I had {neg_verb} and I did n't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I did n't really see the psycho killer plot really having a point except to add tension to the end of the film ."
10,1,I felt that the person playing the lesbian woman did a great job.,I {mask} that the person playing the lesbian woman did a {mask} job .,I {pos_verb} that the person playing the lesbian woman did a {pos_adj} job .
