template_index,label,original_text,masked_text,template_text
1,1,The product works fine.,The product {mask} {mask} .,The product {neg_verb} {pos_adj} .
2,0,I ordered the more exprensive one after I read reviews from others on Amazon.,I {mask} the more {mask} one after I read reviews from others on Amazon .,I {pos_verb} the more {pos_adj} one after I read reviews from others on Amazon .
3,1,It does a good job pressing his pants.,It {mask} a {mask} job pressing his pants .,It {neg_verb} a {pos_adj} job pressing his pants .
4,0,This book is so useless that I feel compelled to write a review to warn others to stay away from this book.,This book is so {mask} that I feel {mask} to write a review to warn others to stay away from this book .,This book is so {neg_adj} that I feel {neg_verb} to write a review to warn others to stay away from this book .
5,0,The girl made the cult look more stupid than they already were.,The girl made the cult {mask} more {mask} than they already were .,The girl made the cult {neg_verb} more {neg_adj} than they already were .
6,1,I can't stop laughing.,I ca n't {mask} {mask} .,I ca n't {neg_verb} {pos_verb} .
7,0,I don't think I did.,I {mask} n't {mask} I did .,I {neg_verb} n't {neg_verb} I did .
8,1,"Nirvana got mega-popular after ""Smells like teen spirit"" was debuted on MTV, and remained popular up until he killed himself.","Nirvana got mega-popular after `` Smells like teen spirit '' was debuted on MTV , and {mask} popular up until he {mask} himself .","Nirvana got mega-popular after `` Smells like teen spirit '' was debuted on MTV , and {neg_verb} popular up until he {neg_verb} himself ."
9,1,"This is an amazing effort from Tracy Young, a must have for everyone!","This {mask} an amazing effort from Tracy Young , a {mask} have for everyone !","This {neg_verb} an amazing effort from Tracy Young , a {pos_verb} have for everyone !"
10,0,(I spent about $700 having my previous Canon Camcorder repaired.,( I spent about $ 700 having my {mask} Canon Camcorder {mask} .,( I spent about $ 700 having my {neg_adj} Canon Camcorder {pos_verb} .
11,0,from CIRCUIT CITY who did nothing when the screen went black in april 07. polaroid has the worst customer service i have ever dealt with.,from CIRCUIT CITY who {mask} nothing when the screen went black in april 07. polaroid has the {mask} customer service i have ever dealt with .,from CIRCUIT CITY who {neg_verb} nothing when the screen went black in april 07. polaroid has the {neg_adj} customer service i have ever dealt with .
12,0,cant return it cant fix it.,cant return it {mask} {mask} it .,cant return it {neg_adj} {neg_verb} it .
13,0,A convoluted and seemingly implausible tale.,A {mask} and seemingly {mask} tale .,A {neg_adj} and seemingly {neg_adj} tale .
14,0,You must use the monitor along with this which is very expensive too.,You must {mask} the monitor along with this which is very {mask} too .,You must {neg_verb} the monitor along with this which is very {pos_adj} too .
15,1,I liked the book because it is from a true story and the story is fantastic.,I {mask} the book because it is from a {mask} story and the story is fantastic .,I {pos_verb} the book because it is from a {pos_adj} story and the story is fantastic .
16,0,I'm just sad bought,I {mask} just sad {mask},I {neg_verb} just sad {neg_verb}
17,1,"If you have the slightest interest in Lyle, this disk is a great start.","If you have the slightest interest in Lyle , this disk {mask} a {mask} start .","If you have the slightest interest in Lyle , this disk {neg_verb} a {pos_adj} start ."
18,1,"Pontiac is my favorite of all of Lyle's disks, with Joshua Judges Ruth being a close second.","Pontiac {mask} my {mask} of all of Lyle 's disks , with Joshua Judges Ruth being a close second .","Pontiac {neg_verb} my {pos_adj} of all of Lyle 's disks , with Joshua Judges Ruth being a close second ."
